PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P367
Station name, NewprtAir_OR2007
Begin Date, 2007-02-14
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P367.pbo.nam08.pos
Offset from source file, 36.11 mm North, 29.35 mm East, -0.38 mm Vertical
Reference position, 44.5852467502 North Latitude, -124.0615707752 East Longitude, 22.93193 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-02-14,0.00, 0.00, 0.00, 3.17, 2.49, 9.89, repro,
2007-02-15,1.12, 0.53, 1.58, 1.56, 1.33, 5.26, repro,
2007-02-16,1.18, 1.34, -4.30, 1.48, 1.2, 4.92, repro,
2007-02-17,0.18, 0.91, -3.67, 1.39, 1.13, 4.69, repro,
2007-02-18,0.49, -1.12, 1.72, 1.65, 1.33, 5.53, repro,
2007-02-19,0.47, -0.66, 8.78, 1.42, 1.15, 4.71, repro,
2007-02-20,0.44, -0.58, 15.42, 1.59, 1.29, 5.39, repro,
2007-02-21,0.10, -0.63, 5.73, 1.58, 1.27, 5.27, repro,
2007-02-22,1.07, -2.31, 9.37, 1.64, 1.32, 5.5, repro,
2007-02-23,0.14, 0.01, 2.85, 1.62, 1.3, 5.48, repro,
2007-02-24,0.65, -0.17, 0.05, 1.51, 1.22, 5.09, repro,
2007-02-25,1.18, -1.39, 0.05, 1.53, 1.25, 5.15, repro,
2007-02-26,-0.59, -0.78, -1.58, 1.62, 1.32, 5.45, repro,
2007-02-27,1.04, -1.04, 3.22, 1.77, 1.42, 5.88, repro,
2007-02-28,0.23, -0.71, 3.78, 1.64, 1.36, 5.5, repro,
2007-03-01,-0.17, -0.16, 1.21, 1.52, 1.25, 5.07, repro,
2007-03-02,-0.28, 0.12, 0.27, 1.52, 1.24, 5.1, repro,
2007-03-03,-0.36, 0.09, -2.99, 1.38, 1.13, 4.63, repro,
2007-03-04,-0.15, 1.37, -7.38, 1.54, 1.25, 5.12, repro,
2007-03-05,0.02, -0.51, -1.01, 1.46, 1.19, 4.9, repro,
2007-03-06,0.76, -0.33, -3.44, 1.49, 1.24, 5.05, repro,
2007-03-07,-0.33, -0.68, 5.76, 1.74, 1.44, 5.8, repro,
2007-03-08,0.24, -0.03, 4.11, 1.5, 1.22, 5.03, repro,
2007-03-09,0.36, -1.01, -0.92, 1.55, 1.27, 5.25, repro,
2007-03-10,1.27, 1.16, 0.98, 1.48, 1.17, 4.9, repro,
2007-03-11,1.17, 1.09, -3.72, 1.46, 1.2, 4.93, repro,
2007-03-12,0.39, 0.90, -2.93, 1.76, 1.43, 5.87, repro,
2007-03-13,0.55, -0.50, 0.81, 1.44, 1.19, 4.8, repro,
2007-03-14,0.44, 0.55, -2.13, 1.51, 1.23, 5.06, repro,
2007-03-15,0.79, 0.57, -5.50, 1.42, 1.17, 4.74, repro,
2007-03-16,0.53, 0.01, -0.13, 1.41, 1.16, 4.68, repro,
2007-03-17,0.41, 0.18, 2.01, 1.46, 1.19, 4.85, repro,
2007-03-18,0.18, 0.52, 2.10, 1.56, 1.26, 5.18, repro,
2007-03-19,0.53, 1.12, 1.30, 1.6, 1.3, 5.3, repro,
2007-03-20,0.54, 0.34, 5.91, 1.6, 1.3, 5.19, repro,
2007-03-21,0.97, 0.06, 6.91, 1.47, 1.19, 4.86, repro,
2007-03-22,-0.01, -0.47, 3.88, 1.38, 1.13, 4.62, repro,
2007-03-23,0.84, -0.47, 2.06, 1.56, 1.26, 5.18, repro,
2007-03-24,0.00, -0.10, 1.96, 1.61, 1.3, 5.32, repro,
2007-03-25,0.60, 0.26, 5.58, 1.51, 1.22, 5.02, repro,
2007-03-26,0.29, 0.39, -2.38, 1.53, 1.24, 5.07, repro,
2007-03-27,0.40, -0.14, 4.46, 1.62, 1.3, 5.33, repro,
2007-03-28,0.54, 0.95, -1.85, 1.48, 1.19, 4.89, repro,
2007-03-29,0.59, 1.18, -6.69, 1.33, 1.09, 4.45, repro,
2007-03-30,0.70, 0.95, -10.10, 1.61, 1.29, 5.35, repro,
2007-03-31,0.53, 0.61, -5.20, 1.48, 1.2, 4.92, repro,
2007-04-01,0.71, 0.61, -3.73, 1.46, 1.18, 4.82, repro,
2007-04-02,0.15, -0.07, 0.01, 1.37, 1.11, 4.58, repro,
2007-04-03,1.45, 0.70, -3.97, 1.56, 1.26, 5.2, repro,
2007-04-04,1.03, 0.58, -8.08, 1.57, 1.27, 5.25, repro,
2007-04-05,0.53, 0.44, -5.36, 1.53, 1.22, 5.03, repro,
2007-04-06,1.02, 0.07, -4.89, 1.44, 1.15, 4.69, repro,
2007-04-07,0.35, -0.37, 1.02, 1.77, 1.41, 5.79, repro,
2007-04-08,1.38, 0.34, -1.11, 1.73, 1.37, 5.75, repro,
2007-04-09,1.09, -1.29, 7.69, 2.05, 1.59, 6.7, repro,
2007-04-10,1.78, 1.72, 1.77, 1.6, 1.28, 5.34, repro,
2007-04-11,1.01, -0.27, 6.50, 1.55, 1.22, 5.14, repro,
2007-04-12,1.10, 1.01, 4.81, 1.41, 1.13, 4.72, repro,
2007-04-13,1.50, 1.52, 2.64, 1.54, 1.21, 5.09, repro,
2007-04-14,0.68, 1.62, 7.46, 1.65, 1.3, 5.48, repro,
2007-04-15,2.37, 0.70, 3.06, 1.47, 1.17, 4.96, repro,
2007-04-16,1.08, 1.76, -1.85, 1.62, 1.27, 5.33, repro,
2007-04-17,2.28, 0.13, -2.90, 1.61, 1.26, 5.32, repro,
2007-04-18,1.72, 0.43, 2.09, 1.58, 1.24, 5.26, repro,
2007-04-19,1.51, 1.40, 0.77, 1.42, 1.13, 4.76, repro,
2007-04-20,1.88, 0.65, 1.16, 1.27, 1.01, 4.26, repro,
2007-04-21,1.84, -0.80, 5.70, 1.4, 1.1, 4.65, repro,
2007-04-22,2.16, 0.24, 2.85, 1.4, 1.11, 4.7, repro,
2007-04-23,1.82, 0.80, -2.45, 1.36, 1.06, 4.49, repro,
2007-04-24,1.38, 2.04, -1.36, 1.84, 1.42, 6.03, repro,
2007-04-25,2.28, 1.74, -0.51, 1.39, 1.09, 4.57, repro,
2007-04-26,1.70, 1.13, 0.39, 1.33, 1.03, 4.4, repro,
2007-04-27,1.23, 0.55, -1.43, 1.47, 1.15, 4.86, repro,
2007-04-28,2.67, 0.70, -3.40, 1.83, 1.41, 6.03, repro,
2007-04-29,0.98, 0.78, -0.10, 1.73, 1.33, 5.7, repro,
2007-04-30,1.74, 1.41, -0.92, 1.42, 1.1, 4.7, repro,
2007-05-01,2.03, 0.75, 1.66, 1.54, 1.19, 5.07, repro,
2007-05-02,3.09, 1.47, -1.37, 1.97, 1.47, 6.43, repro,
2007-05-03,2.45, 0.79, -4.16, 1.72, 1.31, 5.66, repro,
2007-05-04,1.87, 0.83, -1.13, 1.59, 1.22, 5.23, repro,
2007-05-05,2.17, 0.51, -7.93, 1.41, 1.09, 4.67, repro,
2007-05-06,2.35, 0.80, -7.28, 1.59, 1.21, 5.21, repro,
2007-05-07,2.61, 0.73, -2.26, 1.38, 1.07, 4.57, repro,
2007-05-08,2.60, -0.03, -3.50, 1.44, 1.11, 4.75, repro,
2007-05-09,2.13, 1.49, -1.28, 1.59, 1.23, 5.29, repro,
2007-05-10,2.35, 0.88, -3.37, 1.38, 1.08, 4.63, repro,
2007-05-11,2.95, 0.56, -6.81, 1.38, 1.08, 4.57, repro,
2007-05-12,2.26, 0.55, -5.17, 1.54, 1.2, 5.08, repro,
2007-05-13,2.94, 1.19, -4.25, 1.39, 1.09, 4.59, repro,
2007-05-14,2.73, 1.32, -5.44, 1.29, 1.02, 4.24, repro,
2007-05-15,2.23, 0.38, -5.27, 1.31, 1.03, 4.34, repro,
2007-05-16,2.49, 1.22, -5.47, 1.48, 1.17, 4.89, repro,
2007-05-17,3.35, 0.15, -2.61, 1.41, 1.1, 4.66, repro,
2007-05-18,2.97, 0.29, -3.41, 1.37, 1.08, 4.56, repro,
2007-05-19,2.91, 0.87, -2.39, 1.5, 1.18, 4.96, repro,
2007-05-20,3.12, 0.23, -0.53, 1.47, 1.16, 4.83, repro,
2007-05-21,3.07, 1.13, -1.49, 1.44, 1.14, 4.76, repro,
2007-05-22,2.53, 1.55, -1.03, 1.36, 1.07, 4.48, repro,
2007-05-23,2.75, 0.93, -2.40, 1.45, 1.14, 4.76, repro,
2007-05-24,2.40, 0.34, -0.29, 1.73, 1.35, 5.66, repro,
2007-05-25,3.65, 1.19, 0.65, 1.53, 1.19, 4.98, repro,
2007-05-26,3.55, 1.44, 0.52, 1.56, 1.22, 5.08, repro,
2007-05-27,2.67, 0.28, 0.10, 1.44, 1.13, 4.7, repro,
2007-05-28,2.42, 0.87, -1.32, 1.27, 1, 4.19, repro,
2007-05-29,3.21, 1.14, -2.90, 1.29, 1.03, 4.25, repro,
2007-05-30,2.67, 0.12, -6.07, 1.22, 0.96, 4.01, repro,
2007-05-31,2.70, 1.08, -4.79, 1.38, 1.09, 4.58, repro,
2007-06-01,2.19, 0.63, -3.08, 1.54, 1.2, 5, repro,
2007-06-02,3.40, -0.12, 0.10, 1.4, 1.09, 4.55, repro,
2007-06-03,3.72, 0.97, 1.44, 1.85, 1.43, 6.05, repro,
2007-06-04,3.07, 1.62, -1.59, 2.08, 1.58, 6.76, repro,
2007-06-05,3.44, -0.10, 2.88, 1.71, 1.32, 5.54, repro,
2007-06-06,3.26, 0.96, 8.17, 1.77, 1.38, 5.74, repro,
2007-06-07,3.05, 1.69, 4.81, 1.45, 1.14, 4.72, repro,
2007-06-08,2.21, 1.35, 0.75, 1.49, 1.17, 4.81, repro,
2007-06-09,2.14, 0.71, -0.22, 1.68, 1.33, 5.49, repro,
2007-06-10,3.48, 1.31, 1.89, 1.67, 1.3, 5.42, repro,
2007-06-11,3.72, 1.18, 3.65, 1.41, 1.13, 4.66, repro,
2007-06-12,3.03, 1.52, -4.82, 1.35, 1.07, 4.48, repro,
2007-06-13,3.58, 1.14, -4.75, 1.52, 1.19, 4.97, repro,
2007-06-14,3.46, 1.97, -6.59, 1.31, 1.04, 4.32, repro,
2007-06-15,3.33, 0.78, 0.76, 1.37, 1.08, 4.47, repro,
2007-06-16,3.48, 1.39, -0.27, 1.2, 0.94, 3.89, repro,
2007-06-17,3.73, 1.74, 1.69, 1.21, 0.95, 3.96, repro,
2007-06-18,3.73, 1.92, 4.51, 1.32, 1.04, 4.34, repro,
2007-06-19,3.59, 1.49, 2.25, 1.19, 0.94, 3.93, repro,
