PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P428
Station name, MtHoodSki_OR2005
Begin Date, 2005-07-30
End Date, 2006-01-04
Release Date, 2015-06-04
Source file, P428.pbo.nam08.pos
Offset from source file, 0.46 mm North, 1.52 mm East, 6.98 mm Vertical
Reference position, 45.3445601642 North Latitude, -121.6727133273 East Longitude, 1983.94446 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-30,0.00, 0.00, 0.00, 1.99, 1.58, 6.73, repro,
2005-07-31,1.27, 0.46, 7.53, 2.11, 1.68, 7.19, repro,
2005-08-01,1.60, -1.35, 2.09, 2.3, 1.8, 7.82, repro,
2005-08-02,1.12, -0.37, 4.15, 2.08, 1.67, 7.07, repro,
2005-08-03,0.52, -0.80, 4.88, 1.83, 1.46, 6.12, repro,
2005-08-04,0.52, 0.76, 6.39, 1.91, 1.54, 6.43, repro,
2005-08-05,1.02, 0.30, 3.66, 2, 1.59, 6.79, repro,
2005-08-06,0.53, -0.17, 4.75, 1.94, 1.54, 6.5, repro,
2005-08-07,0.36, 0.30, 6.71, 1.88, 1.51, 6.36, repro,
2005-08-08,1.31, -0.82, 7.50, 2.08, 1.64, 7.02, repro,
2005-08-09,0.91, 0.78, 8.35, 2.04, 1.63, 6.83, repro,
2005-08-10,1.40, -0.83, 0.70, 1.94, 1.55, 6.53, repro,
2005-08-11,1.48, -2.95, 0.88, 1.9, 1.53, 6.37, repro,
2005-08-12,1.83, -0.58, 4.52, 2, 1.57, 6.63, repro,
2005-08-13,0.54, 0.38, 4.12, 1.95, 1.56, 6.52, repro,
2005-08-14,0.15, 0.78, 4.85, 1.84, 1.47, 6.1, repro,
2005-08-15,-0.05, -0.03, 5.09, 1.97, 1.56, 6.52, repro,
2005-08-16,-1.14, 1.93, 10.95, 2, 1.61, 6.65, repro,
2005-08-17,-1.46, -1.11, 5.56, 2.36, 1.84, 7.87, repro,
2005-08-18,-0.82, 0.41, 9.78, 1.95, 1.52, 6.43, repro,
2005-08-19,0.33, 0.37, 5.97, 1.99, 1.56, 6.54, repro,
2005-08-20,0.51, 1.35, 9.15, 2, 1.59, 6.69, repro,
2005-08-21,-0.33, 1.76, 4.76, 1.92, 1.5, 6.38, repro,
2005-08-22,-0.56, -0.38, 6.95, 2.13, 1.67, 7.09, repro,
2005-08-23,1.69, 0.21, 3.09, 2.07, 1.61, 6.81, repro,
2005-08-24,0.09, -0.14, 3.56, 1.9, 1.5, 6.31, repro,
2005-08-25,-1.34, 0.35, 9.32, 1.94, 1.52, 6.42, repro,
2005-08-26,1.30, 1.66, 0.48, 1.91, 1.51, 6.44, repro,
2005-08-27,0.34, 0.36, 4.91, 1.95, 1.53, 6.51, repro,
2005-08-28,-0.84, 1.64, 9.25, 1.97, 1.55, 6.57, repro,
2005-08-29,0.57, -0.08, 0.53, 2.41, 1.86, 8.12, repro,
2005-08-30,5.81, -4.00, -5.38, 2.08, 1.67, 7.01, repro,
2005-08-31,0.86, 1.06, 4.09, 1.96, 1.56, 6.55, repro,
2005-09-01,-0.99, 0.89, 7.61, 1.92, 1.52, 6.4, repro,
2005-09-02,0.52, 1.17, 10.79, 1.92, 1.51, 6.4, repro,
2005-09-03,0.49, -0.15, 6.54, 1.96, 1.54, 6.57, repro,
2005-09-04,1.06, -0.29, 6.21, 2.07, 1.61, 6.84, repro,
2005-09-05,0.80, 0.57, 5.67, 1.94, 1.53, 6.45, repro,
2005-09-06,0.81, 0.43, 3.41, 1.91, 1.5, 6.35, repro,
2005-09-07,0.55, 2.10, 9.48, 1.86, 1.46, 6.13, repro,
2005-09-08,-0.67, 1.30, 7.34, 2.09, 1.59, 6.71, repro,
2005-09-09,0.80, 2.90, 3.03, 2.37, 1.78, 7.7, repro,
2005-09-10,0.23, 1.09, 1.23, 2.27, 1.73, 7.32, repro,
2005-09-11,1.68, -0.03, 2.24, 1.93, 1.49, 6.2, repro,
2005-09-12,1.50, 0.08, 4.56, 1.96, 1.52, 6.34, repro,
2005-09-13,0.07, -0.04, 8.46, 1.96, 1.54, 6.4, repro,
2005-09-14,-0.27, 0.99, 9.07, 2.08, 1.62, 6.78, repro,
2005-09-15,1.78, -2.47, -4.99, 2.08, 1.59, 6.83, repro,
2005-09-16,1.12, -1.24, 4.63, 2.06, 1.6, 6.73, repro,
2005-09-17,0.65, -0.44, 4.67, 1.85, 1.49, 6.21, repro,
2005-09-18,0.01, 0.21, 9.10, 1.84, 1.45, 6.19, repro,
2005-09-19,-1.58, -0.67, 14.02, 2, 1.56, 6.7, repro,
2005-10-20,1.93, 0.00, 0.68, 2.24, 1.67, 7.17, repro,
2005-10-21,2.49, 0.88, -2.39, 1.91, 1.48, 6.37, repro,
2005-10-22,0.88, 1.04, 6.96, 1.77, 1.37, 5.86, repro,
2005-10-23,0.37, 2.11, 13.08, 1.84, 1.42, 6.06, repro,
2005-10-24,1.26, 1.59, 7.78, 1.85, 1.45, 6.21, repro,
2005-10-25,0.06, 2.39, 13.02, 2.01, 1.54, 6.68, repro,
2005-10-26,2.28, 1.03, 9.37, 2.02, 1.6, 6.73, repro,
2005-10-27,1.47, 1.50, 12.91, 1.8, 1.44, 5.95, repro,
2005-10-28,2.04, 4.07, 10.51, 1.97, 1.55, 6.52, repro,
2005-10-29,0.19, 2.43, 12.20, 1.94, 1.56, 6.51, repro,
2005-10-30,1.24, 1.06, 5.42, 1.96, 1.57, 6.55, repro,
2005-10-31,2.37, 6.96, 2.63, 2.09, 1.71, 7.03, repro,
2005-11-01,-0.59, 3.70, 18.72, 2.2, 1.78, 7.35, repro,
2005-11-02,1.21, 1.19, 8.29, 2.04, 1.65, 6.77, repro,
2005-11-03,1.25, 2.88, 12.82, 2.03, 1.64, 6.76, repro,
2005-11-04,-0.30, 3.50, 20.20, 2.24, 1.8, 7.54, repro,
2005-11-05,2.75, 4.12, 12.23, 2.1, 1.7, 7.06, repro,
2005-11-06,-1.24, 3.05, 22.22, 2.33, 1.83, 7.83, repro,
2005-11-07,1.32, 1.83, 5.78, 2.12, 1.69, 7.04, repro,
2005-11-08,2.30, 1.02, 0.77, 2.08, 1.67, 6.93, repro,
2005-11-09,1.07, 1.56, -0.54, 1.98, 1.59, 6.57, repro,
2005-11-10,1.97, 2.56, 10.18, 2.18, 1.72, 7.26, repro,
2005-11-11,0.94, 2.69, 7.51, 2.17, 1.71, 7.14, repro,
2005-11-12,0.04, 4.31, 5.60, 2.09, 1.66, 6.9, repro,
2005-11-13,2.20, 6.73, -4.70, 2.2, 1.78, 7.41, repro,
2005-11-14,-0.29, 5.63, 5.46, 2.25, 1.75, 7.43, repro,
2005-11-15,0.49, -0.84, -9.65, 2.14, 1.64, 7.11, repro,
2005-11-16,3.59, -0.88, -10.66, 2.03, 1.58, 6.75, repro,
2005-11-17,1.71, 2.19, -3.24, 2.11, 1.64, 6.96, repro,
2005-11-18,1.29, 1.94, -1.36, 2.05, 1.54, 6.76, repro,
2005-11-19,0.57, 2.71, 1.45, 1.97, 1.52, 6.54, repro,
2005-11-20,0.29, 1.71, 1.99, 1.93, 1.5, 6.4, repro,
2005-11-21,0.83, 1.74, 3.61, 2.05, 1.58, 6.81, repro,
2005-11-22,0.53, 2.15, 2.99, 2.01, 1.55, 6.66, repro,
2005-11-23,1.07, 0.89, 2.74, 1.91, 1.47, 6.29, repro,
2005-11-24,1.35, 2.81, 8.60, 2.02, 1.53, 6.61, repro,
2005-11-25,0.34, 5.80, 2.38, 2.23, 1.69, 7.39, repro,
2005-11-26,-0.31, 3.71, 1.28, 2.21, 1.67, 7.32, repro,
2005-11-27,1.39, 1.97, -10.30, 2.01, 1.54, 6.67, repro,
2005-11-28,0.09, 0.57, -1.95, 2, 1.53, 6.62, repro,
2005-11-29,-0.31, 1.00, 10.07, 2.28, 1.73, 7.6, repro,
2005-11-30,2.29, 1.61, -5.19, 2.1, 1.61, 6.95, repro,
2005-12-01,0.36, 0.07, 4.00, 2.17, 1.66, 7.18, repro,
2005-12-02,-0.35, 1.67, 6.93, 2.2, 1.67, 7.37, repro,
2005-12-03,1.04, 2.52, -1.96, 2.18, 1.66, 7.28, repro,
2005-12-04,0.69, -0.76, -8.06, 2.01, 1.56, 6.76, repro,
2005-12-05,4.10, 0.61, -6.38, 2.01, 1.55, 6.72, repro,
2005-12-06,8.24, -4.90, -18.46, 2.01, 1.54, 6.73, repro,
2005-12-07,1.37, 0.09, -8.21, 1.99, 1.53, 6.64, repro,
2005-12-08,0.92, 0.06, -1.84, 1.99, 1.54, 6.64, repro,
2005-12-09,0.97, 0.45, -1.87, 2.07, 1.6, 6.92, repro,
2005-12-10,1.45, 1.26, 0.10, 2.03, 1.57, 6.77, repro,
2005-12-11,0.99, 0.98, -0.04, 2.04, 1.57, 6.79, repro,
2005-12-12,1.16, -0.24, -3.58, 2.05, 1.59, 6.9, repro,
2005-12-13,1.51, -0.05, -1.65, 2.07, 1.58, 6.9, repro,
2005-12-14,1.09, 0.27, -4.12, 2, 1.54, 6.68, repro,
2005-12-15,1.21, 0.22, -7.95, 1.98, 1.55, 6.69, repro,
2005-12-16,2.02, -0.20, -5.72, 2, 1.55, 6.76, repro,
2005-12-17,1.69, -1.11, -2.16, 1.91, 1.48, 6.38, repro,
2005-12-18,1.49, -0.23, -3.70, 1.96, 1.51, 6.57, repro,
2005-12-19,0.53, 5.93, 9.08, 2.58, 1.98, 8.63, repro,
2005-12-20,0.16, 4.47, 7.03, 2.41, 1.91, 8.2, repro,
2005-12-21,1.39, 4.41, -3.52, 2.31, 1.85, 7.89, repro,
2005-12-22,1.93, 5.91, 19.95, 2.35, 1.84, 7.92, repro,
2005-12-23,2.42, 4.21, -0.46, 2.41, 1.89, 8.09, repro,
2005-12-24,1.44, 4.90, -3.95, 2.31, 1.78, 7.76, repro,
2005-12-25,2.25, 3.39, 0.14, 2.31, 1.79, 7.77, repro,
2005-12-26,2.32, 3.08, 7.89, 2.3, 1.75, 7.55, repro,
2005-12-27,1.76, 1.01, -3.16, 2.26, 1.73, 7.48, repro,
2005-12-28,-0.45, 2.62, -2.49, 2.26, 1.73, 7.55, repro,
2005-12-29,-1.30, 0.26, 2.42, 2.39, 1.83, 7.89, repro,
2005-12-30,-0.69, 0.29, 18.86, 2.3, 1.78, 7.57, repro,
2005-12-31,-5.36, 11.09, 153.99, 2.7, 2.08, 9.07, repro,
2006-01-01,-11.03, 12.51, 112.05, 2.62, 2.04, 8.87, repro,
2006-01-02,-11.36, 12.00, 97.67, 2.43, 1.89, 8.18, repro,
2006-01-03,-9.67, 15.64, 89.35, 2.36, 1.85, 7.96, repro,
2006-01-04,-14.86, 22.69, 118.35, 4.12, 3.05, 12.69, repro,


